,rank,total,schoolInfo,admissionRank,sportsRank,artsRank,uniformedGroupsRank,schoolName,schoolArea,School,Avail,Apply,Ballot,Note
163,164,186,"{'schoolSlug': 'lianhua-primary-school', 'schoolCode': '1232', 'schoolName': 'Lianhua Primary School', 'schoolNameZh': '联华小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/lianhua-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'West', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.lianhuapri.moe.edu.sg/', 'address': '2 Bukit Batok Street 52', 'schoolArea': 'Bukit Batok', 'postalCode': '659243', 'tel': '65639502', 'email': 'lianhua_ps@moe.edu.sg', 'latitude': 1.35424191127296, 'longitude': 103.754165828711, 'nearestSlugs': ['dazhong-primary-school', 'bukit-view-primary-school', 'keming-primary-school', 'st-anthony-s-primary-school', 'princess-elizabeth-primary-school', 'yuhua-primary-school', 'chij-our-lady-queen-of-peace', 'bukit-timah-primary-school', 'jurong-primary-school', 'bukit-panjang-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'Together, we bring out the best in every child for a better nation', 'schoolVision': 'Hearts of Service, Minds of Inquiry, Joy in Learning, Confidence in Life', 'schoolEchos': ['In Lianhua, we believe that school should not just be about academic excellence. To better prepare our students for a future that is more dynamic and complex, we must focus on the all-round development of students, and equip them with the skills, attitudes and values to be future-ready - Students who will grow into confident citizens who chart their own paths and create their own successes.', 'Our school vision is Hearts of Service, Minds of Inquiry, Joy in Learning, Confidence in Life.', ""Through 'Hearts of Service', we want to nurture our students to be caring and compassionate towards others, to know that regardless of their circumstance, they can do their part to make a difference to the people around them."", ""'Minds of Inquiry' is about seeking knowledge and learning to think creatively and critically which is an important 21st century competency. We want our students to be curious about the world and things around them. Learning is no longer something that just takes place in school. During this time, where change is happening so rapidly, our hope is for our students to find 'Joy in Learning' and to continue to learn throughout life."", ""We want out students to grow up to be useful and contributing citizens who are confident and have a strong belief in their self-worth. Thus, 'Confidence in Life'."", 'Our school mission is Together we bring out the best in every child for a better nation.', 'Together is important as it is our belief that the school cannot do it alone. We must establish strong partnerships with Parents and the Community to bring up every child together. Every child is unique with their own interests, talents and aspirations, and we want to bring out the best in every child, to guide and nurture them to their fullest potential. Our PISA (Physical, Intellectual, Social-moral & Aesthetics) framework guides us to create all-round quality school experiences for our students and to nurture their talents in their pursuit of being the best they can be.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,123,109,161,Lianhua Primary School,Bukit Batok,Lianhua Primary School,203.0,60.0,,
165,166,186,"{'schoolSlug': 'fuchun-primary-school', 'schoolCode': '1208', 'schoolName': 'Fuchun Primary School', 'schoolNameZh': '福春小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/fuchun-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'North', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.fuchunpri.moe.edu.sg', 'address': '23 Woodlands Avenue 1', 'schoolArea': 'Woodlands', 'postalCode': '739063', 'tel': '63683925', 'email': 'fcps@moe.edu.sg', 'latitude': 1.43047990810127, 'longitude': 103.778192944298, 'nearestSlugs': ['marsiling-primary-school', 'si-ling-primary-school', 'innova-primary-school', 'woodgrove-primary-school', 'woodlands-primary-school', 'qihua-primary-school', 'woodlands-ring-primary-school', 'evergreen-primary-school', 'admiralty-primary-school', 'greenwood-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'To nurture a community of passionate learners who are leaders with sound character, in partnership with stakeholders', 'schoolVision': 'A Concerned Leader, A LifeLong Learner', 'schoolEchos': ['With a history of over 30 years, Fuchun Primary School is located in the heart of Woodlands. As encapsulated in its vision and mission, the school believes that every pupil is a confident leader who positively influences others through the demonstration of the school values - Respect, Care, Perseverance, Responsibility and Integrity and embraces social and cultural diversities. The school also believes that each pupil is a learner who is constantly reflective, actively sharing, continuously learning and possesses the ability to aesthetically respond.', ""The school believes in the inculcation of values and life skills mastery as these skills are essential for the pupils to face future challenges in the globalised world. As such, the teaching of values is integral to the school's curriculum and co-curriculum programmes. Pupils who have displayed the school values consistently will be affirmed through the presentation of the Fuchun Values Award in each term. Bi-monthly assembly talks are carried out to reiterate the importance of values in building character."", 'The school believes that the quality of teaching and learning depends on its teachers. Hence, as part of professional development, teachers are actively engaged in discussion to question their assumptions, share subject expertise and teaching strategies to better engage the learners. The school is also proud of its strong culture of care among the staff.  Through the empowerment by the school leaders and the inclusive environment provided in the school, this culture of care is further strengthened and passed on to the pupils. Under the positive influence of their teachers who show concern, pupils demonstrate the value of care through their thoughts, words and deeds.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,121,146,128,Fuchun Primary School,Woodlands,Fuchun Primary School,95.0,16.0,,
166,167,186,"{'schoolSlug': 'jiemin-primary-school', 'schoolCode': '1207', 'schoolName': 'Jiemin Primary School', 'schoolNameZh': '介民小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/jiemin-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'North', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.jieminpri.moe.edu.sg', 'address': '2  Yishun Street 71', 'schoolArea': 'Yishun', 'postalCode': '768515', 'tel': '67586472', 'email': 'jiemin_ps@moe.edu.sg', 'latitude': 1.42768620385279, 'longitude': 103.830427933344, 'nearestSlugs': ['ahmad-ibrahim-primary-school', 'yishun-primary-school', 'xishan-primary-school', 'peiying-primary-school', 'northland-primary-school', 'chongfu-school', 'naval-base-primary-school', 'huamin-primary-school', 'north-view-primary-school', 'sembawang-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'Nurturing Hearts and Minds', 'schoolVision': 'Global Learners, Discerning Citizens', 'schoolEchos': ['At Jiemin Primary School we aim to equip our students with the 21st century competencies and to build a strong foundation in the Languages, Mathematics and Science.  We are committed to create a supportive, engaging, safe and inclusive environment with the support of parents and the community.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,170,103,123,Jiemin Primary School,Yishun,Jiemin Primary School,22.0,27.0,N,This school only has places for Singapore Citizen children residing within 2km of the school. No balloting will be conducted.
167,168,186,"{'schoolSlug': 'blangah-rise-primary-school', 'schoolCode': '1145', 'schoolName': 'Blangah Rise Primary School', 'schoolNameZh': '布兰雅坡小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/blangah-rise-primary-school-1.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'South', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.blangahrisepri.moe.edu.sg', 'address': '91 Telok Blangah Heights', 'schoolArea': 'Bukit Merah', 'postalCode': '109100', 'tel': '62717387', 'email': 'brps@moe.edu.sg', 'latitude': 1.27612047869293, 'longitude': 103.808628536055, 'nearestSlugs': ['gan-eng-seng-primary-school', 'radin-mas-primary-school', 'zhangde-primary-school', 'queenstown-primary-school', 'chij-kellock', 'alexandra-primary-school', 'new-town-primary-school', 'cantonment-primary-school', 'river-valley-primary-school', 'fairfield-methodist-school-primary'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'Nurturing Every Child Holistically', 'schoolVision': 'A Joyful School of Confident Learners and Caring Leaders.', 'schoolEchos': ['To enable our students to learn successfully, we help them develop core habits to enhance effectiveness. This is done through the ""Leader in Me"" programme, which equips our students with Stephen Covey\'s Seven Habits of Happy Kids for personal and inter-personal effectiveness. We design learning to meet the different learning needs of children through various programmes, including Aspiring Confident Engineers @ BRPS (Applied Learning Programme), Accelerated Programme to enhance Students\' eXperience (APEX) (stretch programme), Chinese Junior Reporters and Young Photographers. We use service as a key platform to help our students apply learning and nurture connectedness with the school and the community, for example, through our Learning for Life Programme (LLP) for community and leadership which is anchored on environmental education.', 'Through these programmes, we create a positive school experience for each student by nurturing their joy of learning, providing opportunities for all and developing a growth mindset in them. Our students become learners who are engaged, self-directed and have a love for learning. They also become leaders who are resilient and responsible, and care for self, others and the community.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,167,173,61,Blangah Rise Primary School,Bukit Merah,Blangah Rise Primary School,72.0,19.0,,
168,169,186,"{'schoolSlug': 'teck-whye-primary-school', 'schoolCode': '1043', 'schoolName': 'Teck Whye Primary School', 'schoolNameZh': '德惠小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/teck-whye-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'West', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.teckwhyepri.moe.edu.sg', 'address': '11 Teck Whye Walk', 'schoolArea': 'Choa Chu Kang', 'postalCode': '688261', 'tel': '67691025', 'email': 'twps@moe.edu.sg', 'latitude': 1.38364996834459, 'longitude': 103.753291857016, 'nearestSlugs': ['west-view-primary-school', 'south-view-primary-school', 'kranji-primary-school', 'chua-chu-kang-primary-school', 'yew-tee-primary-school', 'west-spring-primary-school', 'greenridge-primary-school', 'de-la-salle-school', 'zhenghua-primary-school', 'concord-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'Inspiring and empowering our learners to be their best for self and others through a supportive environment and innovative & effective teaching-learning practices.', 'schoolVision': 'A future-ready community of passionate learners  anchored in values and striving for excellence to make a positive difference.', 'schoolEchos': ['At Teck Whye Primary, we believe that all children can learn and want to learn and that teaching needs to cater to different progress levels and be anchored on meaningful engagement. Every child can be inspired and empowered to achieve within a supportive environment anchored on safety and care. Teachers, as role models, impart sound values, build character and inspire their students to learn by building quality relationships with and among students. To meet future challenges, our students must extend their learning beyond the acquisition of knowledge and skills, and apply and use their learning in meaningful ways.', 'Established since 1959, Teck Whye Primary envisions our learners to achieve the following outcomes and exercise the related values in their daily lives:', 'Confident Communicators who Engage with Respect', 'Healthy Individuals who eXercise Responsibility', 'Adaptive Leaders who Collaborate with Integrity', 'Model Citizens who Encourage through Compassion', 'Passionate Learners who Learn with Resilience', 'The rallying call is for CHAMPs who embrace and strive for the value of Excellence.', 'To realise these outcomes, the school provides a strong grounding in the various subjects while placing emphasis on the (i) acquisition of 21st century competencies, (ii) development of effective communication skills and an understanding of media use and production, (iii) inculcation of values and social emotional development, (iv) understanding of the importance of National Education and (v) development of leadership competencies.', 'The school, therefore, whilst encouraging our students to do well academically, also places a very strong emphasis on character and holistic development. We believe that this would provide a firm foundation for our students as they pursue their secondary education but more importantly as they live their lives.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,135,134,134,Teck Whye Primary School,Choa Chu Kang,Teck Whye Primary School,145.0,43.0,,
169,170,186,"{'schoolSlug': 'bukit-timah-primary-school', 'schoolCode': '1247', 'schoolName': 'Bukit Timah Primary School', 'schoolNameZh': '武吉知马小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/bukit-timah-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'West', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.bukittimahpri.moe.edu.sg', 'address': '111 Lorong Kismis', 'schoolArea': 'Bukit Timah', 'postalCode': '598112', 'tel': '64662863', 'email': 'bukittimahps@moe.edu.sg', 'latitude': 1.33751860013149, 'longitude': 103.767243310781, 'nearestSlugs': ['pei-hwa-presbyterian-primary-school', 'keming-primary-school', 'bukit-view-primary-school', 'methodist-girls-school-primary', 'lianhua-primary-school', 'pei-tong-primary-school', 'clementi-primary-school', 'qifa-primary-school', 'yuhua-primary-school', 'henry-park-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Physical impairment', 'Allied educators (Learning and behavioural support)'], 'schoolMission': 'To Enthuse, Engage and Empower in a Learning Community that inculcates sound values and equips individuals to be world-ready citizens.', 'schoolVision': 'A school that fuels the hearts and minds to be future-ready.', 'schoolEchos': ['At Bukit Timah Primary School (BTPS), we believe that every child has intrinsic worth. He/She can learn and achieve when given the right environment and support. Like a sapling, a child needs scaffolding to stay rooted while given the space to grow.  The right environment is a safe and conducive environment whereby order and discipline is put in place so that the child is able to learn well.  He/she is able to develop at his/her own pace and is given opportunities to explore, discover and ask questions.', 'To build a strong foundation in literacy, numeracy and thinking skills, teachers will provide the support and guidance.  By encouraging and caring for the pupils, they will be able to explore and excel. By the end of the 6 years of education at BTPS, our pupils will be motivated, independent and self-directed learners.  They would be developed in all the five domains: moral, aesthetics, physical, intellectual and social emotional.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",113,152,132,146,Bukit Timah Primary School,Bukit Timah,Bukit Timah Primary School,45.0,63.0,Y,Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school.
170,171,186,"{'schoolSlug': 'angsana-primary-school', 'schoolCode': '1268', 'schoolName': 'Angsana Primary School', 'schoolNameZh': '', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/angsana-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'East', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.angsanapri.moe.edu.sg', 'address': '3 Tampines Street 22', 'schoolArea': 'Tampines', 'postalCode': '529366', 'tel': '67830427', 'email': 'angsana_pri@moe.edu.sg', 'latitude': 1.34855974654082, 'longitude': 103.951808106156, 'nearestSlugs': ['chongzheng-primary-school', 'yumin-primary-school', 'tampines-primary-school', 'changkat-primary-school', 'gongshang-primary-school', 'east-spring-primary-school', 'tampines-north-primary-school', 'junyuan-primary-school', 'st-hilda-s-primary-school', 'st-anthony-s-canossian-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'To Engage and Empower all students to be future-ready and to go above and beyond to care, learn and serve.', 'schoolVision': 'Confident Leaders, Caring Citizens', 'schoolEchos': [""We believe that every child can learn and wants to learn. We are committed to provide a holistic education and a safe, nurturing environment for students to grow and learn. We seek to equip them with values, attitudes and skills to prepare them for the future. We do our best to provide a culture of care that will motivate and engage every learner. We believe in promoting positive student behaviours and development of thinking skills. We emphasise the importance of gratitude and respect for all. We strive to ignite students' passion for learning through designing learning experiences and delivering comprehensive curriculum that will meet their learning needs.""], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,150,151,104,Angsana Primary School,Tampines,Angsana Primary School,31.0,66.0,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
171,172,186,"{'schoolSlug': 'unity-primary-school', 'schoolCode': '1750', 'schoolName': 'Unity Primary School', 'schoolNameZh': '协和小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/unity-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'West', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.unitypri.moe.edu.sg', 'address': '21 Choa Chu Kang Crescent', 'schoolArea': 'Choa Chu Kang', 'postalCode': '688268', 'tel': '67676750', 'email': 'unity_ps@moe.edu.sg', 'latitude': 1.40285481877249, 'longitude': 103.746822625758, 'nearestSlugs': ['yew-tee-primary-school', 'de-la-salle-school', 'kranji-primary-school', 'teck-whye-primary-school', 'south-view-primary-school', 'west-view-primary-school', 'west-spring-primary-school', 'concord-primary-school', 'chua-chu-kang-primary-school', 'greenridge-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'To provide quality and holistic education for our students.', 'schoolVision': 'Creative Mind, Confident Self, Caring Heart', 'schoolEchos': [""We anchor our beliefs on growing the school 'from good to great' and structure our school processes through the UPS School Management Model which reflects the four principles of Quality Relationships, Building Capacity, Effective Leadership and Effective Systems. Guided by our philosophy of 'Everyone Matters', we strive to provide all students with our very own Unity experience, where we believe that all children can learn and are committed to achieving success."", 'Our commitment is to ensure that quality teaching and learning are the focus both in and out of classrooms. Through our CORE values of IC2R (Integrity, Courage, Respect and Responsibility), we guide our students to develop the foundations for lifelong learning, and also provide an educational experience that is both student centric and values driven. Over the years, our students have done well and their success is due to the hard work of a nurturing team of dedicated teachers and supportive parents.', 'Teamwork amongst staff is also our strength and it defines our work at Unity Primary. We have a strong team in place and with a shared commitment, we continue to make great things possible for all our students. Our belief that Everyone Matters is our cornerstone and this experience will be wholesome, enriching and joyful, whereby we seek to nurture every student and staff to achieve our vision of Creative Minds, Caring Hearts.'], 'motherTongues': ['Chinese', 'Malay'], 'affiliatedSchools': []}",132,164,125,116,Unity Primary School,Choa Chu Kang,Unity Primary School,72.0,9.0,,
172,173,186,"{'schoolSlug': 'townsville-primary-school', 'schoolCode': '1189', 'schoolName': 'Townsville Primary School', 'schoolNameZh': '城景小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/townsville-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'South', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.townsvillepri.moe.edu.sg/', 'address': '3 Ang Mo Kio Ave 10', 'schoolArea': 'Ang Mo Kio', 'postalCode': '569730', 'tel': '64574345', 'email': 'townsvilleps@moe.edu.sg', 'latitude': 1.36003263719251, 'longitude': 103.853826048328, 'nearestSlugs': ['teck-ghee-primary-school', 'catholic-high-school', 'chij-our-lady-of-good-counsel', 'kuo-chuan-presbyterian-primary-school', 'jing-shan-primary-school', 'st-gabriel-s-primary-school', 'guangyang-primary-school', 'zhonghua-primary-school', 'ang-mo-kio-primary-school', 'yangzheng-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'To nurture people of character, healthy patriotic citizens and creative independent thinkers equipped with 21st century skills', 'schoolVision': 'Leaders of Character, Learners for Life', 'schoolEchos': ['The school believes in the holistic development of the child. Guided by our school vision ""Leaders of Character, Learners for Life"", the school has five desired student outcomes for every Townsvillite growing students to be: a gracious pupil; a self-directed learner; a creative thinker; a responsible citizen; and a resilient leader.', 'Our school values, the iCARe3 (Integrity our Foundation; Compassion our Key; Ardent for Singapore, our Home; Respect, Responsibility & Resilience, our Strengths) are not only taught explicitly by teachers and incorporated in to our school programmes.', 'The school has a Culture of Care, Collaboration & Excellence. Pupils put into practice the Care for Self, Care for Others, Care for School and Care for the Community. They are also exposed to different learning opportunities to develop and horn their skills to effectively collaborate with others to achieve excellence.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,162,117,133,Townsville Primary School,Ang Mo Kio,Townsville Primary School,105.0,21.0,,
173,174,186,"{'schoolSlug': 'farrer-park-primary-school', 'schoolCode': '1246', 'schoolName': 'Farrer Park Primary School', 'schoolNameZh': '华苑小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/farrer-park-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'South', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.farrerparkpri.moe.edu.sg', 'address': '2 Farrer Park Road', 'schoolArea': 'Kallang', 'postalCode': '217567', 'tel': '62952272', 'email': 'fpps@moe.edu.sg', 'latitude': 1.31236855965766, 'longitude': 103.850766169884, 'nearestSlugs': ['st-joseph-s-institution-junior', 'st-margaret-s-primary-school', 'anglo-chinese-school-junior', 'stamford-primary-school', 'hong-wen-school', 'anglo-chinese-school-primary', 'bendemeer-primary-school', 'pei-chun-public-school', 'chij-primary-toa-payoh', 'singapore-chinese-girls-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'Creating Opportunities,Accepting Challenges,Nurturing Character', 'schoolVision': 'Fountain of Knowledge - A Confident Person who is able to learn, unlearn, relearn.Heart of Gold - A Caring Leader who is able to listen, empathise, serve.', 'schoolEchos': ['In Farrer Park Primary School (FPPS), we believe that every child must grow up to be gentle and humble in spirit, generous in compassion, always gracious and respectful towards others.  He must agrow up, a dignified individual and a caring leader who contributes actively to the community in his own capacity.', 'We believe that every child must develop the spirit of adventure to explore and pursue his interests, his talents, and his imagination, his sense of curiosity and wonder.  He must also develop his cognitive and linguistic abilities to express his thoughts and opinions confidently and critically.  Importantly, he must grow up with the disposition and ability to learn, unlearn and relearn so that he will be well placed in secondary school, and for the future.', 'We believe that every child must find joy in learning and be inspired to be the best that he can be, and to achieve the best that he can in his learning. He should set high expectations for himself in his pursuits of his interests and talents and find his sense of purpose and meaningfulness in what he wishes to do or to grow up to become.', 'We believe that every child learns best when the environment is safe and nurturing; and he is free to express himself: his needs, his aspirations, his thoughts and his feelings. The learning environment should also encourage him to interact with one another through which he learns to appreciate diverse perspectives and ideas, the needs of others and itheir interests.', ""We believe in the growth mindset that the child can achieve far more than what we can imagine because every child can learn and find success, given the right conditions. We will affirm every child's efforts to learn and guide him in his pursuits.  We believe that success is defined more than mere grades or scores; it is about developing the whole child. As educators in FPPS, every child that passes through our hands is special; each different, each with hopes and dreams, everyone important.""], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,169,137,107,Farrer Park Primary School,Kallang,Farrer Park Primary School,76.0,59.0,,
174,175,186,"{'schoolSlug': 'palm-view-primary-school', 'schoolCode': '1263', 'schoolName': 'Palm View Primary School', 'schoolNameZh': '', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/palm-view-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'North', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.palmviewpri.moe.edu.sg', 'address': '150 Compassvale Bow', 'schoolArea': 'Sengkang', 'postalCode': '544822', 'tel': '65087300', 'email': 'palmview_ps@moe.edu.sg', 'latitude': 1.38376923022127, 'longitude': 103.891354675017, 'nearestSlugs': ['north-vista-primary-school', 'punggol-primary-school', 'anchor-green-primary-school', 'yio-chu-kang-primary-school', 'nan-chiau-primary-school', 'montfort-junior-school', 'seng-kang-primary-school', 'springdale-primary-school', 'chij-our-lady-of-the-nativity', 'north-spring-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Physical impairment', 'Allied educators (Learning and behavioural support)'], 'schoolMission': 'To develop the whole child to be a force for good in the world', 'schoolVision': 'Curious Minds, Caring Hearts, Creative Spirits', 'schoolEchos': [""Palm View Primary School believes in the potential of every child. Each is unique, and possesses the capacity to learn, advance and succeed. We believe our children can be inspired towards excellence. As educators, we are guardians of our children's future. To safeguard what is entrusted to us, it is critical that we channel our educational efforts towards developing the whole child to be 21st century learners so that they can be a force for good in the world. This is our mission and calling."", ""We are guardians of children's curiosity for learning. Children are naturally curious. They question, explore and wonder and so they grow and learn. At PLVPS, we want our children to stay curious and develop an inquisitive spirit that thrives on exploration and discovery. This will better prepare them for an unpredictable world."", ""We are guardians of children's tender hearts for caring. Growing up in small nucleus families today, we need to nurture children's gentle hearts towards love and care for others. At Palm View, we cultivate, in our children, the virtue of looking out for the needs of others and to care deeply for those who are less fortunate than themselves."", ""We are guardians of our children's creative spirits. Children possess fertile imagination and view the world through their idiosyncratic lenses. Because creativity requires experimentation and enterprise, our teachers understand the need to promote diversity and multiple perspectives even as they provide a large emotional safety net for our children to manage failures, disappointments and discouragements. When we inspire children to dream big dreams and empower them to believe in themselves and their abilities, they will develop confidence and achieve great things in life."", 'Curious Minds, Caring Hearts, Creative Spirits... this is our vision for our children.'], 'motherTongues': ['Chinese', 'Malay'], 'affiliatedSchools': []}",122,125,140,163,Palm View Primary School,Sengkang,Palm View Primary School,82.0,59.0,,
176,177,186,"{'schoolSlug': 'changkat-primary-school', 'schoolCode': '1239', 'schoolName': 'Changkat Primary School', 'schoolNameZh': '尚育小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/changkat-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'East', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.changkatpri.moe.edu.sg', 'address': '11 Simei St 3', 'schoolArea': 'Tampines', 'postalCode': '529896', 'tel': '67830923', 'email': 'changkat_ps@moe.edu.sg', 'latitude': 1.34023163951634, 'longitude': 103.952080114035, 'nearestSlugs': ['angsana-primary-school', 'chongzheng-primary-school', 'yumin-primary-school', 'st-anthony-s-canossian-primary-school', 'tampines-primary-school', 'junyuan-primary-school', 'east-spring-primary-school', 'st-hilda-s-primary-school', 'gongshang-primary-school', 'red-swastika-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'To instil the love for learning and nurture all-round individuals, grounded by values', 'schoolVision': 'Learners with Passion, Citizens of Honour', 'schoolEchos': [""The school's mission states its commitment to instilling in every child a zeal for learning, embracing innovation in teaching and learning and developing upright and responsible citizens.  The school values of Patriotism, Resilience, Integrity, Discipline and Empathy (PRIDE), are in alignment with its vision."", 'Changkat Primary is committed to delivering a student-centric, values-driven education for all her students through the provision of a Differentiated Curriculum where teachers provide for different learner types. Learner information such as that obtained from formative assessments is actively sought to enable responsive teaching and active learning. To create a sense of autonomy and ownership, students are involved in tracking, reflecting on and following up on their areas for improvement and strengths.', 'In the area of Pastoral Care, we strive to provide multiple platforms which encourage positive teacher-student interactions. This ensures timely gathering of student information to improve support structures and processes. The school also leverages students as a resource base to beef up pastoral support for all children. All these serve to create an environment that is secure and conducive for learning and play.', ""Changkat Primary provides a total curriculum that nurtures the whole child. We believe that the school curriculum and programmes need to be supported by strong Home-School Collaboration for greater effectiveness. Through multiple communication platforms, we ensure that parents are provided with useful and timely information about school policies and activities. This encourages active participation from parents in their child's school life and facilitates fruitful partnership between parents and teachers to meet the needs of every child.""], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,156,105,163,Changkat Primary School,Tampines,Changkat Primary School,97.0,18.0,,
